jhave@jhave-Ubuntu:~/Documents/Github/pytorch-poetry-generation/word_language_model$ python main_pf.py --cuda --model=LSTM --emsize=500 --nhid=500 --nlayers=5
| epoch   4 |   600/ 7591 batches | lr 20.00 | ms/batch 113.48 | loss  5.64 | ppl   280.55
| epoch   4 |   800/ 7591 batches | lr 20.00 | ms/batch 113.50 | loss  5.57 | ppl   261.54
| epoch   4 |  1000/ 7591 batches | lr 20.00 | ms/batch 113.37 | loss  5.59 | ppl   268.39
| epoch   4 |  1200/ 7591 batches | lr 20.00 | ms/batch 113.46 | loss  5.61 | ppl   272.12
| epoch   4 |  1400/ 7591 batches | lr 20.00 | ms/batch 113.41 | loss  5.62 | ppl   276.93
| epoch   4 |  1600/ 7591 batches | lr 20.00 | ms/batch 113.34 | loss  5.66 | ppl   286.69
| epoch   4 |  1800/ 7591 batches | lr 20.00 | ms/batch 113.45 | loss  5.72 | ppl   306.23
| epoch   4 |  2000/ 7591 batches | lr 20.00 | ms/batch 115.35 | loss  5.58 | ppl   266.39
| epoch   4 |  2200/ 7591 batches | lr 20.00 | ms/batch 113.44 | loss  5.53 | ppl   251.34
| epoch   4 |  2400/ 7591 batches | lr 20.00 | ms/batch 113.46 | loss  5.54 | ppl   253.87
| epoch   4 |  2600/ 7591 batches | lr 20.00 | ms/batch 113.55 | loss  5.61 | ppl   272.18
| epoch   4 |  2800/ 7591 batches | lr 20.00 | ms/batch 113.51 | loss  5.51 | ppl   248.17
| epoch   4 |  3000/ 7591 batches | lr 20.00 | ms/batch 113.59 | loss  5.59 | ppl   267.17
| epoch   4 |  3200/ 7591 batches | lr 20.00 | ms/batch 113.66 | loss  5.66 | ppl   285.88
| epoch   4 |  3400/ 7591 batches | lr 20.00 | ms/batch 113.43 | loss  5.52 | ppl   250.21
| epoch   4 |  3600/ 7591 batches | lr 20.00 | ms/batch 113.68 | loss  5.67 | ppl   291.29
| epoch   4 |  3800/ 7591 batches | lr 20.00 | ms/batch 113.82 | loss  5.48 | ppl   239.39
| epoch   4 |  4000/ 7591 batches | lr 20.00 | ms/batch 113.71 | loss  5.50 | ppl   244.62
| epoch   4 |  4200/ 7591 batches | lr 20.00 | ms/batch 113.53 | loss  5.53 | ppl   253.27
| epoch   4 |  4400/ 7591 batches | lr 20.00 | ms/batch 113.56 | loss  5.57 | ppl   263.06
| epoch   4 |  4600/ 7591 batches | lr 20.00 | ms/batch 113.59 | loss  5.32 | ppl   203.61
